StateAbbr,StateName,HexRow,HexCol,Area,Population,LaborForce,Employed,WomenEarning,MenEarning,Obesity,InfantMortality,Obama,Romney,Clinton,Trump
AL,Alabama,7,6,52420,3816,2169,2039,33.000,43.400,35.6,8.7,795696,1255925,729547,1318255
AK,Alaska,1,2,665384,546,360,337,43.000,56.000,29.8,5.4,122640,164676,116454,163387
AZ,Arizona,7,2,113990,5374,3238,3066,36.000,44.000,28.4,5.5,1025232,1233654,1161167,1252401
AR,Arkansas,6,5,53179,2311,1343,1289,30.000,40.000,34.5,7.5,394409,647744,380494,684872
CA,California,6,1,163695,30669,19103,18065,42.000,50.000,24.2,4.6,7854285,4839958,8753788,4483810
CO,Colorado,5,3,104094,4323,2891,2795,40.000,50.000,20.2,4.8,1323101,1185243,1338870,1202484
CT,Connecticut,4,11,5543,2870,1892,1796,46.000,60.000,25.3,5.0,905083,634892,897572,673215
DE,Delaware,5,10,2489,756,473,452,41.000,49.900,29.7,7.0,242584,165484,235603,185127
DC,District of Columbia,6,9,68,560,392,369,60.000,69.000,22.1,7.3,267070,21381,282830,12723
FL,Florida,8,6,65758,16616,9839,9359,34.000,40.000,26.8,6.1,4237756,4163447,4504975,4617886
GA,Georgia,7,7,59425,7886,4920,4656,35.000,42.500,30.7,6.6,1773827,2078688,1877963,2089104
HI,Hawaii,8,-1,10932,1093,685,665,40.000,48.000,22.7,5.6,306658,121015,266891,128847
ID,Idaho,4,2,83569,1273,815,783,30.000,40.000,28.6,5.5,212787,420911,189765,409055
IL,Illinois,4,6,57914,10031,6539,6155,40.000,50.000,30.8,6.2,3019512,2135216,3090729,2146015
IN,Indiana,4,7,36420,5145,3327,3180,34.000,45.000,31.3,7.0,1152887,1420543,1033126,1557286
IA,Iowa,4,5,56273,2445,1701,1638,35.000,45.000,32.1,4.8,822544,730617,653669,800983
KS,Kansas,6,4,82278,2211,1484,1422,35.000,45.000,34.2,6.4,440726,692634,427005,671018
KY,Kentucky,5,6,40408,3458,1992,1892,33.200,42.800,34.6,6.8,679370,1087190,628854,1202971
LA,Louisiana,7,4,52378,3587,2121,1992,32.000,48.000,36.2,8.4,809141,1152262,780154,1178638
ME,Maine,1,13,35380,1095,691,664,36.000,43.000,30.0,7.0,401306,292276,357735,335593
MD,Maryland,5,9,12406,4726,3170,3034,49.800,57.000,28.9,6.5,1677844,971869,1677928,943169
MA,Massachusetts,3,11,10554,5528,3589,3456,48.500,60.000,24.3,4.2,1921290,1188314,1995196,1090893
MI,Michigan,3,8,96714,7896,4837,4599,37.000,48.000,31.2,7.0,2564569,2115256,2268839,2279543
MN,Minnesota,3,5,86936,4317,3001,2884,40.000,50.000,26.1,5.1,1546167,1320225,1367716,1322951
MS,Mississippi,7,5,48432,2285,1280,1206,30.000,40.000,35.6,9.3,562949,710746,485131,700714
MO,Missouri,5,5,69707,4758,3112,2971,34.000,43.000,32.4,6.6,1223796,1482440,1071068,1594511
MT,Montana,3,3,147040,824,526,505,31.600,42.000,23.6,5.8,201839,267928,177709,279240
NE,Nebraska,5,4,77348,1454,1011,979,32.900,45.000,31.4,4.9,302081,475064,284494,495961
NV,Nevada,5,2,110572,2297,1427,1346,35.000,42.300,26.7,5.1,531373,463567,539260,512058
NH,New Hampshire,2,12,9349,1090,749,727,40.000,52.000,26.3,4.9,369561,329918,348526,345790
NJ,New Jersey,4,10,8723,7092,4524,4300,48.000,60.000,25.6,4.5,2125101,1477568,2148278,1601933
NM,New Mexico,6,3,121590,1610,927,865,35.000,42.300,28.8,6.1,415335,335788,385234,319667
NY,New York,3,10,54555,15818,9584,9121,43.800,50.000,25.0,5.0,4485741,2490431,4556124,2819534
NC,North Carolina,6,7,53819,7892,4876,4629,35.000,42.000,30.1,7.2,2178391,2270395,2189316,2362631
ND,North Dakota,3,4,70698,582,416,403,35.000,46.200,31.0,6.2,124827,188163,93758,216794
OH,Ohio,4,8,44826,9140,5713,5431,36.000,46.900,29.8,7.4,2827710,2661433,2394164,2841005
OK,Oklahoma,7,3,69899,2988,1828,1739,32.000,40.000,33.9,7.1,443547,891325,420375,949136
OR,Oregon,5,1,98379,3283,2055,1955,38.000,46.000,30.1,5.1,970488,754175,1002106,782403
PA,Pennsylvania,4,9,46054,10231,6472,6120,38.000,50.000,30.0,6.9,2990274,2680434,2926441,2970733
RI,Rhode Island,3,12,1545,857,552,523,43.000,52.000,26.0,6.5,279677,157204,252525,180543
SC,South Carolina,6,8,32020,3887,2298,2187,32.000,40.000,31.7,7.2,865941,1071645,855373,1155389
SD,South Dakota,4,4,77116,657,453,440,30.000,39.000,30.4,7.4,145039,210610,117458,227721
TN,Tennessee,6,6,42144,5217,3135,2984,33.500,40.000,33.8,7.0,960709,1462330,870695,1522925
TX,Texas,8,3,268596,20862,13285,12672,35.000,45.000,32.4,5.8,3308124,4569843,3877868,4685047
UT,Utah,6,2,84897,2200,1511,1460,35.000,50.000,24.5,5.0,251813,740600,310676,515231
VT,Vermont,2,11,9616,515,345,334,38.900,45.000,25.1,4.3,199239,92698,178573,95369
VA,Virginia,5,8,42775,6542,4240,4070,41.000,52.000,29.2,6.3,1971820,1822522,1981473,1769443
WA,Washington,3,2,71298,5722,3644,3446,41.300,53.000,26.4,4.9,1755396,1290670,1742718,1221747
WV,West Virginia,5,7,24230,1472,783,736,30.300,45.000,35.6,7.4,238269,417655,188794,489371
WI,Wisconsin,3,6,65496,4571,3120,2991,36.000,46.000,30.7,6.0,1620985,1407966,1382536,1405284
WY,Wyoming,4,3,97813,451,302,286,36.000,53.000,29.0,5.2,69286,170962,55973,174419
